CustomerID,Age,Gender,Region,EmploymentStatus,AccountType,AccountBalance,MonthlyIncome,CreditScore,LoanAmount,LoanStatus,MonthlyTransactions,DateJoined,Churned
CUS0001,56,Male,Kisumu,Self-Employed,Savings,36631.49,61614.76,564,64963.66,Defaulted,30,8/2/2021,No
CUS0002,69,Female,Nairobi,Unemployed,Savings,67112.82,8099.94,767,246927.03,Active,40,8/17/2018,No
CUS0003,46,Female,Nairobi,Employed,Savings,5019,47543.97,501,191289.58,Active,46,2/21/2018,No
CUS0004,32,Male,Mombasa,Self-Employed,Savings,39684.55,169252.12,454,46958.25,Defaulted,32,2/27/2022,No
CUS0005,60,Female,Kisumu,Employed,Current,159215.69,46649.52,312,45301.24,Active,10,7/18/2019,No
CUS0006,25,Female,Mombasa,Unemployed,Salary,122420.84,15810.17,596,75629.84,Active,27,5/17/2019,No
CUS0007,38,Female,Nairobi,Self-Employed,Savings,71898.73,178648.48,797,241052.56,Active,51,4/3/2019,Yes
CUS0008,56,Male,Nakuru,Employed,Savings,21219.62,153074.54,544,176751.39,Fully Paid,8,10/13/2018,No
CUS0009,36,Female,Nairobi,Employed,Savings,25473.31,101147.79,599,166455.65,Fully Paid,51,2/17/2022,No
CUS0010,40,Female,Eldoret,Employed,Current,199237.3,94853.52,661,73497.38,Active,36,7/29/2018,Yes
CUS0011,28,Male,Nairobi,Self-Employed,Savings,11234.42,47498.49,653,53024.31,Active,42,10/17/2021,No
CUS0012,28,Male,Kisumu,Employed,Salary,35292.78,119055.45,820,310412.79,Fully Paid,55,2/25/2022,No
CUS0013,41,Female,Nairobi,Employed,Fixed Deposit,108511.82,117465.37,685,161171.86,Active,35,1/2/2023,No
CUS0014,53,Female,Eldoret,Student,Salary,55871.69,16702.55,611,70374.5,Fully Paid,36,1/21/2021,No
CUS0015,57,Male,Mombasa,Unemployed,Salary,39424.62,14810.37,713,445437.56,Active,48,6/28/2018,No
CUS0016,41,Male,Nairobi,Self-Employed,Current,102049.15,253101.23,577,53654.53,Fully Paid,56,4/24/2021,No
CUS0017,20,Female,Nairobi,Student,Current,97824.04,23769.74,655,162861.19,Active,36,5/14/2020,Yes
CUS0018,39,Female,Nairobi,Employed,Savings,90249.06,54457.18,824,95396.91,Fully Paid,25,3/7/2018,No
CUS0019,19,Female,Nairobi,Self-Employed,Current,11774.29,194176.66,315,25348.22,Defaulted,20,3/3/2018,No
CUS0020,41,Female,Eldoret,Self-Employed,Salary,54783.14,42490.47,344,14408.82,Defaulted,52,7/11/2018,Yes
